OldId,NewId,SynId
347718,1749,
61139,1750,
25370,1751,
264307,1752,
6342,1753,
121217,1754,6342
89957,1755,
158639,1756,105511
158655,1757,73475
73475,1758,
23105,1759,
360480,1760,23105
240038,1761,217905
337625,1762,
334717,1763,337625
335807,1764,
363866,1765,
360772,1766,
111052,1767,
237434,1768,
244098,1769,
351299,1770,
217905,1771,
288841,1772,244098
169158,1773,
332704,1774,
522608,1775,11145
187703,1776,308923
217472,1777,
207329,1778,
207321,1779,
207326,1780,207321
217486,1781,
217484,1782,
264308,1783,
137431,1784,
207328,1785,
217544,1786,308653
308653,1787,
217489,1788,
358817,1789,
137432,1790,
173046,1791,
207784,1792,
201476,1793,
308923,1794,
311058,1795,
217478,1796,308923
103185,1797,61927
158765,1798,
48585,1799,
158770,1800,
57197,1801,61927
61927,1802,
523195,1803,
320008,1804,11676
245119,1805,11676
523159,1806,
81109,1807,387166
158799,1808,
361935,1809,
199743,1810,
378128,1811,
241685,1812,
378130,1813,
246768,1814,
320207,1815,
304271,1816,
367741,1817,
367742,1818,
367743,1819,
320209,1820,
320210,1821,
351300,1822,
285801,1823,
54426,1824,114275
115674,1825,
114275,1826,
303181,1827,
7431,1828,
207641,1829,
125006,1830,
523203,1831,
63025,1832,
235102,1833,
71504,1834,
121177,1835,
263313,1836,71504
234124,1837,71504
105478,1838,
158926,1839,158928
158928,1840,
294467,1841,
7700,1842,
238316,1843,
288861,1844,238316
23110,1845,
125485,1846,
7875,1847,
96913,1848,
114258,1849,
27631,1850,
51285,1851,
344342,1852,70045
353886,1853,
504945,1854,
354584,1855,
158994,1856,
218098,1857,
142818,1858,
121180,1859,
246291,1860,387198
200062,1861,387208
139825,1862,387209
121944,1863,387209
386820,1864,
387964,1865,386820
159145,1866,69964
529135,1867,529217
503554,1868,501580
502735,1869,502809
529223,1870,
502809,1871,
501580,1872,
105515,1873,
346297,1874,
529254,1875,
346194,1876,
346192,1877,
249756,1878,
529253,1879,529199
346197,1880,
277035,1881,
165512,1882,
523298,1883,
165520,1884,168546
346299,1885,
238099,1886,
529106,1887,
529029,1888,
357477,1889,
346304,1890,
346201,1891,
165511,1892,
529034,1893,
529109,1894,529124
528971,1895,
528992,1896,
237682,1897,
197739,1898,
346309,1899,
294430,1900,
529056,1901,
173112,1902,
338913,1903,
346263,1904,
528988,1905,
529041,1906,528988
529068,1907,
529003,1908,
528999,1909,
346220,1910,
528937,1911,346882
346882,1912,
346325,1913,
346264,1914,
346292,1915,
528977,1916,
346290,1917,529170
529077,1918,
371573,1919,371185
347376,1920,
346213,1921,
346277,1922,
346281,1923,529166
346282,1924,529230
346268,1925,
338239,1926,
168546,1927,
528976,1928,
165527,1929,
141812,1930,
346326,1931,
118725,1932,
528978,1933,
528996,1934,
139234,1935,
214849,1936,
304299,1937,
529146,1938,
529093,1939,
529142,1940,
529124,1941,
529217,1942,
529175,1943,
529164,1944,
529085,1945,
529204,1946,
529040,1947,
529170,1948,
371185,1949,
529199,1950,
529166,1951,
529230,1952,
346307,1953,
173129,1954,
173107,1955,
69164,1956,
327896,1957,184126
286096,1958,
334678,1959,
116608,1960,26083
85851,1961,
344833,1962,
277899,1963,277900
277900,1964,
159259,1965,277900
65383,1966,
44830,1967,
525839,1968,
318564,1969,
318562,1970,
67753,1971,
301614,1972,67753
301613,1973,67753
301617,1974,67753
159351,1975,
500426,1976,237999
343786,1977,339103
